epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.6100109651836725,0.015896820635872826,4.589778870961132,0.0165016501650165,4.537083216937397e-05
2,4.582144165153481,0.016496700659868028,4.554275882376445,0.0177017701770177,6.136313768503117e-05
3,4.555046563528938,0.02309538092381524,4.519594349876882,0.028502850285028504,8.761903325977996e-05
4,4.524194893611,0.021295740851829635,4.463631626224146,0.030303030303030304,0.00012355095219116808
5,4.4841631710279035,0.033593281343731254,4.410386622005706,0.035703570357035704,0.0001683547932037619
6,4.438588595204391,0.035992801439712056,4.317519234566584,0.0387038703870387,0.0002210279150033032
7,4.369738501278168,0.04109178164367126,4.342553791969773,0.03660366036603661,0.0002803915738521991
8,4.305322446863166,0.04979004199160168,4.572239971647311,0.025202520252025202,0.0003451173020477938
9,4.205184921935138,0.05788842231553689,4.834560709031108,0.028502850285028504,0.00041375663699350757
10,4.1421679512211576,0.0653869226154769,3.9933751996415463,0.06480648064806481,0.00048477353557179544
11,4.1158453801755215,0.08038392321535692,3.9173599870363014,0.0771077107710771,0.0005565787484349346
12,4.006254115216233,0.09208158368326334,3.865121565028207,0.07980798079807981,0.0006275653849696996
13,3.980313277630729,0.08968206358728255,3.891849767900679,0.08040804080408041,0.0006961448730465217
14,3.8910747566978303,0.09928014397120576,3.8598170390616944,0.0747074707470747,0.0007607825088290578
15,3.8436955867874887,0.1250749850029994,3.905695666288278,0.08010801080108011,0.0008200318010939203
16,3.8286021796971936,0.11367726454709058,3.5772366047334714,0.10981098109810981,0.0008725668414873226
17,3.72357021210504,0.14907018596280744,3.7291450271583555,0.1041104110411041,0.0009172119763219135
18,3.6855270878311823,0.14817036592681462,3.593184530073338,0.10201020102010201,0.0009529681159044612
19,3.6542761816403506,0.16556688662267546,3.509551491495585,0.126012601260126,0.0009790350926319551
20,3.585420085773113,0.20095980803839233,3.6923691680615205,0.1185118511851185,0.0009948295675162018
21,3.496606697346825,0.1943611277744451,3.1044649072069683,0.2001200120012001,0.000999999634157577
22,3.4532772206087348,0.20635872825434912,3.4814762913211488,0.15391539153915393,0.000998933582663899
23,3.4626495524945913,0.22975404919016196,3.4715318201970953,0.13561356135613561,0.000995817314276566
24,3.3273703529939156,0.2591481703659268,3.13525195254816,0.1842184218421842,0.000990663634410819
25,3.4167345800153783,0.2465506898620276,3.1500008686362104,0.1926192619261926,0.0009834937206426874
26,3.2706818228791987,0.2663467306538692,3.022141219973743,0.20252025202520252,0.0009743370356857863
27,3.3697596149810716,0.24805038992201559,3.0181104658317395,0.23072307230723071,0.0009632312063227063
28,3.2316072613590836,0.2615476904619076,3.069262093121391,0.20882088208820881,0.0009502218687884932
29,3.275373382345244,0.2756448710257948,3.0975200199272552,0.19771977197719773,0.0009353624812415691
30,3.033702032395874,0.29994001199760045,2.929738217275707,0.24362436243624364,0.000918714104092693
31,2.9804076549173044,0.3674265146970606,2.807796000432868,0.2676267626762676,0.0009003451490946353
32,2.9283533847181826,0.39832033593281346,2.6588707874388513,0.29492949294929494,0.0008803310982236116
33,2.9157370594210015,0.3086382723455309,2.5570787065851057,0.32493249324932494,0.0008587541935076514
34,2.9264793016986355,0.3962207558488302,2.637807703290013,0.2982298229822982,0.0008357030990764641
35,2.9307918132388386,0.4295140971805639,2.7988782336752656,0.26852685268526855,0.0008112725368215116
36,2.897150016932267,0.42501499700059986,2.3885852889259263,0.3858385838583858,0.0007855628971634388
37,2.8254653573679795,0.41091781643671266,2.509410169437201,0.32673267326732675,0.000758679826526301
38,2.6596249505725535,0.48680263947210556,2.3436113906056897,0.38943894389438943,0.0007307337932137471
39,2.7645884921755273,0.3665266946610678,2.280658321912819,0.38223822382238226,0.0007018396334710633
40,2.7508578662323107,0.4376124775044991,2.3956510942689726,0.3789378937893789,0.0006721160795984102
41,2.8049169436284864,0.45560887822435514,2.357037209763457,0.39063906390639064,0.0006416852720543331
42,2.7181575079484834,0.4631073785242951,2.42826291887459,0.39603960396039606,0.0006106722575544182
43,2.674744352725143,0.498500299940012,2.158716427253382,0.4458445844584458,0.0005792044752275162
44,2.5493392807034296,0.5128974205158968,2.1807042660385574,0.43474347434743477,0.0005474112329410269
45,2.464003390156014,0.5017996400719856,2.388548550861861,0.37443744374437443,0.0005154231759471342
46,2.4299748322887913,0.5497900419916016,2.1628276936256094,0.44614461446144615,0.0004833717500334429
47,2.443933607220435,0.5128974205158968,2.1539514922466214,0.45934593459345935,0.0004513886613840416
48,2.479409281479504,0.5431913617276545,2.1466664110544813,0.45034503450345037,0.00041960533537054186
49,2.356731267052635,0.5788842231553689,2.1918793355528026,0.43174317431743175,0.00038815237649703484
50,2.4515600210188677,0.5659868026394721,2.188507634027563,0.444044404440444,0.00035715903171817064
51,2.273189501341904,0.6637672465506899,2.054985639822222,0.46894689468946893,0.0003267526593356969
52,2.335106811340369,0.6097780443911218,2.0526033350557955,0.48604860486048607,0.00029705820565587997
53,2.251389860892339,0.6235752849430114,2.0162973896075824,0.48724872487248727,0.0002681976915583305
54,2.238457552172427,0.714757048590282,1.9601512968164645,0.5052505250525052,0.00024028971108603584
55,2.21415430825845,0.674865026994601,1.957820414495368,0.5055505550555055,0.00021344894411700008
56,2.176619176744485,0.6229754049190162,1.9389312240836358,0.5232523252325233,0.0001877856851200252
57,2.31905933976817,0.5803839232153569,1.9669333957102146,0.5181518151815182,0.00016340538993108166
58,2.191598449843189,0.707258548290342,1.920448676194295,0.5205520552055205,0.0001404082424126578
59,2.1794768764218957,0.6805638872225555,1.9356246465253215,0.5202520252025202,0.00011888874277677936
60,2.215519500193513,0.6745650869826035,1.9290687806821607,0.5217521752175217,9.89353192633686e-05
61,2.2447357553883664,0.6334733053389322,1.9479678165723067,0.5220522052205221,8.062996476963772e-05
62,2.0578994017270915,0.6649670065986802,1.9118937099799,0.5301530153015301,6.404789992368787e-05
63,2.125928351174019,0.5761847630473905,1.9161823666421207,0.531953195319532,4.925726398681291e-05
64,2.2238769485482788,0.6031793641271745,1.9331250489741663,0.5268526852685268,3.631883485465877e-05
65,2.083442432979087,0.6883623275344931,1.9125615085455308,0.5325532553255325,2.528577930781378e-05
