epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.6202725717673845,0.007198560287942412,4.599422093164517,0.015001500150015001,6.906805410331952e-05
2,4.610183308778155,0.009898020395920816,4.583010884401428,0.0204020402040204,0.00015275158404097207
3,4.596301925775886,0.01199760047990402,4.549996942290664,0.026702670267026704,0.0002809151007471889
4,4.571723433690795,0.01829634073185363,4.508458778731572,0.024602460246024603,0.00043803583739827
5,4.552722932052384,0.01829634073185363,4.489753698537273,0.031203120312031204,0.0006050838186870194
6,4.547667414396912,0.021295740851829635,4.511528123866464,0.026402640264026403,0.0007618267122886381
7,4.5323398935630355,0.020695860827834433,4.422989527956702,0.036303630363036306,0.000889280306071782
8,4.502618534520635,0.022195560887822437,4.38567691703405,0.031203120312031204,0.0009720078168708216
9,4.463751885014233,0.022795440911817635,4.33273015907853,0.0447044704470447,0.0009999980081923324
10,4.424217690088539,0.027294541091781643,4.351775118155126,0.039603960396039604,0.0009942031210590826
11,4.374948181502463,0.028794241151769647,4.254773978603304,0.043504350435043505,0.000977368597524142
12,4.345071654013695,0.03419316136772645,4.259061408765389,0.043804380438043806,0.0009498704930250691
13,4.313430974064434,0.03689262147570486,4.1193045184950625,0.048604860486048604,0.0009123230697771231
14,4.273685682156019,0.03569286142771446,4.141367616719252,0.05670567056705671,0.0008655650751704138
15,4.212811669119118,0.04349130173965207,3.9959517930171313,0.06570657065706571,0.0008106410055391953
16,4.195083540073754,0.041991601679664065,4.0717150639243,0.054005400540054004,0.0007487777738397355
17,4.11927779591863,0.045890821835632874,4.013217152327416,0.060006000600060005,0.0006813573024422875
18,4.141610697921909,0.05038992201559688,3.9163900547617017,0.05490549054905491,0.0006098856532688949
19,4.141392714689789,0.045890821835632874,3.9155754681074186,0.06480648064806481,0.0005359593848587465
20,4.023946185704113,0.0656868626274745,3.996304398429955,0.059705970597059704,0.0004612298878886433
21,4.0628045908190495,0.05398920215956809,3.795038567195953,0.0711071107110711,0.00038736649583412136
22,3.975254027658976,0.07378524295140972,3.80895822469515,0.0711071107110711,0.0003160191948180972
23,4.007126051577251,0.06508698260347931,3.777658018449245,0.07620762076207621,0.00024878176564740323
24,3.953895360606834,0.07168566286742652,3.730862347098968,0.0747074707470747,0.00018715618138320501
25,3.894648788500204,0.07258548290341932,3.6953649764085297,0.0771077107710771,0.000132519055744753
26,3.9199693627749364,0.08038392321535692,3.667611520139441,0.0849084908490849,8.609089183367724e-05
27,3.9016334522821694,0.07498500299940011,3.7002299526522475,0.08070807080708071,4.890881811152026e-05
28,3.8296860936307304,0.10317936412717456,3.747776555685964,0.07920792079207921,2.1803420663707336e-05
29,3.8758082035135635,0.09238152369526095,3.7415597413775803,0.07890789078907891,5.380189278901927e-06
30,3.841906087013798,0.09058188362327535,3.736560816382847,0.0813081308130813,5.9918076674983796e-09
