epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.703325847129158,0.014997000599880024,4.8903621532807575,0.025802580258025804,0.0009990143508499217
2,4.5403682280244695,0.02669466106778644,4.514875801125339,0.024902490249024904,0.0009960612933065818
3,4.445762002403749,0.02669466106778644,4.707659772591945,0.018301830183018303,0.0009911524817389804
4,4.355913627340755,0.03749250149970006,4.244486120632022,0.0426042604260426,0.0009843072889837517
5,4.262392971139506,0.03929214157168566,4.245550478967575,0.048904890489048905,0.0009755527298894291
6,4.1703354777443105,0.05878824235152969,4.9701365909524915,0.026402640264026403,0.0009649233547011811
7,4.114919807500445,0.061487702459508096,4.385101231375579,0.0447044704470447,0.0009524611127067761
8,4.064410578939968,0.0602879424115177,4.056104019673207,0.0669066906690669,0.0009382151866819087
9,3.9331847907685917,0.09808038392321536,4.362710145869628,0.06540654065406541,0.0009222417987882558
10,3.828811171388083,0.10377924415116976,4.170405779591631,0.07140714071407141,0.0009046039886902853
11,3.696080608001782,0.10677864427114576,4.012174735654413,0.08790879087908791,0.0008853713647665054
12,3.6019886585503333,0.14097180563887224,4.132446704524578,0.07320732073207321,0.0008646198293969937
13,3.54032912079846,0.16556688662267546,3.4309869389114813,0.1332133213321332,0.000842431279411379
14,3.3970883248734776,0.1889622075584883,3.4805536719367125,0.11911191119111911,0.0008188932828794695
15,3.232405674121447,0.22885422915416917,4.188856100270671,0.09840984098409841,0.0007940987335200893
16,3.191303249741287,0.22315536892621476,3.295363162968061,0.17311731173117312,0.0007681454840920078
17,3.0640502804113705,0.27594481103779245,4.109558396177753,0.1074107410741074,0.0007411359602138057
18,2.9390028564244886,0.3062387522495501,3.6054543061117634,0.12481248124812482,0.000713176756136753
19,2.831790018453524,0.35422915416916617,3.511649046221761,0.1779177917791779,0.000684378214065996
20,2.7976171747252265,0.3515296940611878,3.5173887681431717,0.1479147914791479,0.0006548539886902857
21,2.6245354284550806,0.38182363527294544,3.271421853107552,0.1782178217821782,0.0006247205986388442
22,2.638701886564368,0.382123575284943,3.3634281599088864,0.171017101710171,0.0005940969666355686
23,2.458919242676962,0.3950209958008398,2.9675757075944107,0.24002400240024002,0.000563103950165369
24,2.4504493846103825,0.4793041391721656,2.9933967235529706,0.24932493249324933,0.0005318638645048911
25,2.2734802111080468,0.5221955608878225,3.227040663661093,0.2304230423042304,0.0005004999999999993
26,2.2238670745579583,0.5455908818236352,2.936935267003492,0.2625262526252625,0.00046913613549510736
27,2.0711769509901883,0.5317936412717457,3.2937336288484196,0.22922292229222924,0.0004378960498346293
28,1.9108387670190876,0.629874025194961,2.8890232157142104,0.2682268226822682,0.00040690303336442967
29,1.837049736687718,0.6652669466106779,2.9264381521999248,0.2715271527152715,0.000376279401361154
30,1.9014058194620993,0.6292741451709658,2.890062313411746,0.2859285928592859,0.0003461460113097129
31,1.761535844476765,0.6757648470305939,2.882517563985555,0.28352835283528355,0.0003166217859340025
32,1.755278873243372,0.6322735452909418,2.875064256418012,0.27482748274827484,0.0002878232438632453
33,1.6666421031408418,0.7210557888422315,2.994473980097595,0.25682568256825683,0.00025986403978619236
34,1.6235466590525507,0.767246550689862,2.8750721823872296,0.28052805280528054,0.0002328545159079905
35,1.661947191941502,0.7570485902819436,2.7686426068010395,0.31503150315031503,0.00020690126647990894
36,1.686735126310004,0.6793641271745651,2.841654188669447,0.2826282628262826,0.00018210671712052883
37,1.5803591304720699,0.728254349130174,2.811583268045127,0.309030903090309,0.00015856872058861934
38,1.5265623773009604,0.8011397720455908,2.897796394801376,0.29432943294329433,0.00013638017060300453
39,1.2916359485232622,0.8203359328134373,2.791515181095365,0.31353135313531355,0.00011562863523349293
40,1.3052399479563392,0.8029394121175765,2.7670297771468735,0.32733273327332735,9.63960113097135e-05
41,1.3306964271856627,0.7429514097180564,2.8367689648012195,0.3069306930693069,7.875820121174322e-05
42,1.3689588783169193,0.7828434313137372,2.825948529224871,0.3144314431443144,6.278481331809008e-05
43,1.3281625841789497,0.8239352129574086,2.7926161654747323,0.3246324632463246,4.853888729322322e-05
44,1.3646179558491378,0.8287342531493701,2.8049556038024153,0.31743174317431744,3.607664529881836e-05
45,1.20475390262066,0.9241151769646071,2.79587645964189,0.32283228322832286,2.5447270110570723e-05
46,1.3195113627297048,0.747750449910018,2.800294222575639,0.32163216321632165,1.6692711016248715e-05
47,1.2677999910796267,0.8341331733653269,2.7913277839491255,0.32283228322832286,9.847518261019943e-06
48,1.1809764306704014,0.8401319736052789,2.8005819545291475,0.32793279327932795,4.938706693418285e-06
49,1.317643015700754,0.7768446310737852,2.8113918481844524,0.31743174317431744,1.9856491500783555e-06
50,1.284639582207765,0.8632273545290942,2.805304247160556,0.3234323432343234,1e-06
