epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.527490730285645,0.01,4.6055912386358875,0.009600960096009602,0.0009083281572999747
2,3.649333963394165,0.18,4.617764290696037,0.011701170117011701,0.0008909161775710499
3,2.5742204093933108,0.175,4.713467941604646,0.009600960096009602,0.0005000019999999999
4,2.3329261207580565,0.255,5.074314952933892,0.0102010201020102,0.00010908782242895008
5,2.287392997741699,0.28,5.407375974909808,0.011701170117011701,1.2539993764912554e-05
