epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.724126351258679,0.010497900419916016,4.609274321406445,0.026402640264026403,0.00045962160834070367
2,4.556481553897503,0.026094781043791242,4.407375062152211,0.048904890489048905,0.001318288048846251
3,4.285309046703538,0.07258548290341932,4.050782451749813,0.1005100510051005,0.0022909692138045846
4,4.080779773286523,0.10197960407918416,4.099621375330282,0.11701170117011701,0.0029188546287075663
5,3.9554851405550493,0.1256748650269946,3.943629812772232,0.1398139813981398,0.0029819606077115235
6,3.669814754690892,0.16076784643071385,3.880854703054534,0.1404140414041404,0.002847758309448818
7,3.332071899009023,0.21265746850629874,3.7435260558679158,0.1347134713471347,0.0025938023039779917
8,3.381098774713746,0.20575884823035392,3.6526520457526708,0.17251725172517252,0.0022426576968527026
9,3.2723478808972244,0.22675464907018597,3.532132108398218,0.1848184818481848,0.0018255252273887594
10,3.0642366450778296,0.27114577084583086,3.5196650505352047,0.1854185418541854,0.0013794689460537245
11,3.150110565121473,0.28044391121775647,3.4696201183686486,0.19051905190519053,0.0009441229109299642
12,2.8671798478648842,0.3494301139772046,3.4345092441525646,0.18991899189918993,0.0005581695277228332
13,3.0351438939964694,0.31643671265746853,3.3801700787754556,0.20642064206420643,0.0002559024482588101
14,3.0023289520581753,0.35632873425314937,3.377564627953274,0.20522052205220523,6.417942902550247e-05
15,2.9089822996570884,0.26244751049790044,3.3712560102598395,0.20642064206420643,3.590164440225338e-08
