run_name,best_val_acc,best_epoch,test_loss,test_acc,elapsed_min,total_parameters,trainable_parameters,experiment,source_file,cfg.resize_size,cfg.crop_size,cfg.batch_size,cfg.num_epochs,cfg.lr,cfg.head_lr,cfg.wd,cfg.label_smoothing,cfg.dropout,cfg.channels,cfg.use_batch_norm,cfg.augmentation,cfg.random_erasing,cfg.freeze_backbone,cfg.run_name,cfg.mixup_alpha,cfg.mixup_prob,cfg.early_stop_patience,cfg.img_size,cfg.block_dropout,cfg.image_size,cfg.min_delta,cfg.num_convs_per_block,cfg.cutmix_prob,group
base_batch_norm_false,0.47734773477347736,67,2.0753431540511227,0.4896489648964896,77.4234624505043,11223012,11223012,base_batch_norm_false,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_batch_norm_false_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",False,light,True,False,base_batch_norm_false,0.2,0.5,20.0,224.0,,,,,,base
base_droput_0.1,0.570957095709571,67,1.9183447048394415,0.5766576657665766,80.40533969799678,11227812,11227812,base_droput_0.1,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_droput_0.1_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.1,"[64, 128, 256, 512]",True,light,True,False,base_droput_0.1,0.2,0.5,20.0,224.0,,,,,,base
base_droput_0.3,0.5787578757875788,69,1.8509877167984132,0.57995799579958,79.93723176717758,11227812,11227812,base_droput_0.3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_droput_0.3_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.3,"[64, 128, 256, 512]",True,light,True,False,base_droput_0.3,0.2,0.5,20.0,224.0,,,,,,base
base_froput_0.5,0.5943594359435943,70,1.7534738083412222,0.5946594659465947,79.17598553498586,11227812,11227812,base_froput_0.5,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_froput_0.5_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.5,"[64, 128, 256, 512]",True,light,True,False,base_froput_0.5,0.2,0.5,20.0,224.0,,,,,,base
base_label_smoothing_0.0,0.5673567356735674,62,1.7510694480321445,0.5616561656165616,77.06582421461741,11227812,11227812,base_label_smoothing_0.0,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_label_smoothing_0.0_summary.json,256,224,64,70,0.001,,0.0001,0.0,0.25,"[64, 128, 256, 512]",True,light,True,False,base_label_smoothing_0.0,0.2,0.5,20.0,224.0,,,,,,base
base_label_smoothing_0.1,0.5805580558055805,69,1.7272878744707356,0.5877587758775877,81.33403683106104,11227812,11227812,base_label_smoothing_0.1,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_label_smoothing_0.1_summary.json,256,224,64,70,0.001,,0.0001,0.1,0.25,"[64, 128, 256, 512]",True,light,True,False,base_label_smoothing_0.1,0.2,0.5,20.0,224.0,,,,,,base
base_label_smoothing_0.3,0.5862586258625863,66,1.989481081019784,0.585958595859586,76.82251556714375,11227812,11227812,base_label_smoothing_0.3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_label_smoothing_0.3_summary.json,256,224,64,70,0.001,,0.0001,0.3,0.25,"[64, 128, 256, 512]",True,light,True,False,base_label_smoothing_0.3,0.2,0.5,20.0,224.0,,,,,,base
base_lr_1e-4,0.40564056405640564,69,2.365362342756645,0.40534053405340537,81.00644954840342,11227812,11227812,base_lr_1e-4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_lr_1e-4_summary.json,256,224,64,70,0.0001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_lr_1e-4,0.2,0.5,20.0,224.0,,,,,,base
base_lr_3e-3,0.5838583858385838,68,1.8028672341645176,0.5925592559255926,80.12027288277945,11227812,11227812,base_lr_3e-3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_lr_3e-3_summary.json,256,224,64,70,0.003,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_lr_3e-3,0.2,0.5,20.0,224.0,,,,,,base
base_lr_3e-4,0.5274527452745275,70,2.0510495869991052,0.5211521152115212,79.66281663576761,11227812,11227812,base_lr_3e-4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_lr_3e-4_summary.json,256,224,64,70,0.0003,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_lr_3e-4,0.2,0.5,20.0,224.0,,,,,,base
base_mixup_alpha_0,0.5655565556555655,66,1.9361879896409442,0.5673567356735674,78.61137246688207,11227812,11227812,base_mixup_alpha_0,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_mixup_alpha_0_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_mixup_alpha_0,0.0,0.5,20.0,224.0,,,,,,base
base_mixup_alpha_0.4,0.5847584758475848,66,1.8248927070326966,0.585058505850585,78.973283970356,11227812,11227812,base_mixup_alpha_0.4,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_mixup_alpha_0.4_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_mixup_alpha_0.4,0.4,0.5,20.0,224.0,,,,,,base
base_mixup_alpha_1,0.5964596459645964,67,1.760826147750731,0.5946594659465947,79.24745587905248,11227812,11227812,base_mixup_alpha_1,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_mixup_alpha_1_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_mixup_alpha_1,1.0,0.5,20.0,224.0,,,,,,base
base_mixup_prob_0.3,0.5754575457545754,68,1.8765184160399073,0.5883588358835884,76.05511868397394,11227812,11227812,base_mixup_prob_0.3,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_mixup_prob_0.3_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_mixup_prob_0.3,0.2,0.3,20.0,224.0,,,,,,base
base_mixup_prob_0.5,0.5484548454845485,50,1.8140749188825742,0.5523552355235524,57.46920195023219,11227812,11227812,base_mixup_prob_0.5,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_mixup_prob_0.5_summary.json,256,224,64,50,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_mixup_prob_0.5,0.2,0.5,20.0,224.0,0.0,,,,,base
base_mixup_prob_0.5_70epoch,0.5793579357935793,68,1.849068541230649,0.5796579657965797,78.26999343236288,11227812,11227812,base_mixup_prob_0.5_70epoch,/Users/mamads/Documents/uni/master/semester 2/Image Processing and Computer Vision/assignment/UNIBO_IPCV_Image_classification/outputs/summaries/base_mixup_prob_0.5_70epoch_summary.json,256,224,64,70,0.001,,0.0001,0.2,0.25,"[64, 128, 256, 512]",True,light,True,False,base_mixup_prob_0.5_70epoch,0.2,0.5,20.0,224.0,,,,,,base
